obstime,stnpres,seapres,stnpresmax,stnpresmaxtime,stnpresmin,stnpresmintime,temperature,tmax,tmaxtime,tmin,tmintime,tddewpoint,ws,wd,wsgust,wdgust,wgusttime,precp,precphour,precpday,precpmax10,precpmax10time,precphrmax,precphrmaxtime,precp1daymax,precp1daymaxtime,rh,evapa,sunshine,globlrad,uvimaxmean,uvimax,uvimaxtime,cloudamount,year
1,1016.6,1020,1024.9,2010-01-14 09:30,1010.2,2010-01-04 14:14,17.200001,28.6,2010-01-31 15:14,6.9000001,2010-01-14 06:47,12.5,2,360,14.6,360,2010-01-12 16:45,19.5,21.9,7,2,2010-01-25 13:21,4.5,2010-01-25 13:04,10,2010-01-08 00:00,75,61.5,160.10001,396.12,4,5,2010-01-24 13:00,5.6999998,2010
2,1013.4,1016.8,1020,2010-02-18 22:55,1006,2010-02-26 15:21,19.1,33,2010-02-10 12:44,10.1,2010-02-19 02:33,14.7,2.3,360,12.2,250,2010-02-10 14:40,53.799999,62.200001,11,2.5,2010-02-17 01:23,4.5,2010-02-19 02:33,25,2010-02-19 00:00,77,59.599998,127.4,361.53,4,6,2010-02-11 12:00,6.6999998,2010
3,1013.6,1017,1023.5,2010-03-10 09:31,1004.8,2010-03-23 15:05,21.4,32.900002,2010-03-04 13:55,8.3000002,2010-03-11 06:18,16.200001,2.2,10,14.7,360,2010-03-09 16:27,6.9000001,13.6,3,2.5,2010-03-13 03:35,4.5,2010-03-13 02:45,5.1999998,2010-03-13 00:00,73,104.1,206.2,566.23999,5,7,2010-03-14 13:00,5.4000001,2010
4,1011.6,1014.9,1017.8,2010-04-17 10:26,1003.3,2010-04-11 15:27,22.200001,33.799999,2010-04-21 13:20,14.2,2010-04-16 05:10,18.1,2.0999999,360,14.2,270,2010-04-20 14:30,69,65.599998,11,3.5,2010-04-28 09:47,10,2010-04-30 04:00,16.5,2010-04-23 00:00,78,87.599998,136.3,483.51001,5,8,2010-04-21 12:00,7.3000002,2010
5,1006.3,1009.6,1014,2010-05-01 08:14,999.20001,2010-05-23 04:16,26.5,34.400002,2010-05-22 13:10,17.6,2010-05-01 05:01,22,1.9,250,17.5,200,2010-05-23 12:40,103.8,41.599998,8,7.5,2010-05-23 12:19,17.5,2010-05-29 01:36,52.5,2010-05-23 00:00,77,121.6,181.39999,625.28998,6,8,2010-05-09 13:00,6.5999999,2010
6,1005.8,1009.1,1009.2,2010-06-08 07:32,999.90002,2010-06-25 04:01,27.700001,36.400002,2010-06-22 12:52,20.9,2010-06-07 04:17,23.799999,2.4000001,200,14.3,240,2010-06-22 14:32,269.79999,81.900002,14,14,2010-06-24 10:30,27.5,2010-06-24 14:00,63.200001,2010-06-13 00:00,80,111.5,141.7,523.70001,6,9,2010-06-30 12:00,7.4000001,2010
7,1006.4,1009.6,1010.5,2010-07-17 22:00,1002.6,2010-07-05 16:20,29,35.5,2010-07-20 12:42,24,2010-07-22 05:39,24.700001,2.4000001,200,15.1,220,2010-07-21 16:07,459.29999,82.300003,16,12.5,2010-07-12 15:41,45,2010-07-26 16:16,165.5,2010-07-27 00:00,79,148.2,210.7,642.35999,7,9,2010-07-04 13:00,6.5,2010
8,1005.3,1008.6,1011.9,2010-08-19 09:09,996.20001,2010-08-08 16:15,28.799999,36,2010-08-14 14:04,23,2010-08-26 03:49,25,1.7,240,12.4,70,2010-08-05 15:08,208.7,63.299999,21,14.5,2010-08-28 15:21,37.5,2010-08-28 14:55,43,2010-08-25 00:00,81,145.7,212.10001,669.90997,8,10,2010-08-12 13:00,6,2010
9,1005.9,1009.2,1011.8,2010-09-26 08:00,982.5,2010-09-19 17:34,27.5,34.200001,2010-09-11 13:41,22.1,2010-09-21 04:06,24.5,1.8,330,29.1,110,2010-09-19 20:20,252.3,83.099998,16,17,2010-09-17 03:50,37,2010-09-17 03:05,88,2010-09-19 00:00,84,107.6,179.3,537.57001,6,9,2010-09-10 13:00,6.1999998,2010
10,1008,1011.4,1017.3,2010-10-31 08:29,996.29999,2010-10-22 11:22,25.1,32.700001,2010-10-12 12:15,15.1,2010-10-31 06:17,21.6,2,10,15.8,190,2010-10-23 12:51,15.8,19.799999,3,3,2010-10-22 15:34,4.3000002,2010-10-22 15:10,11.9,2010-10-22 00:00,82,100.4,181,513.46002,5,6,2010-10-10 12:00,6.1999998,2010
