date,price,district
2010/1/1,2.67,A
2010/1/1,4.59,B
2010/1/1,3.5,C
2010/1/1,6.67,D
2010/2/1,4.35,A
2010/2/1,3.55,B
2010/2/1,4.25,C
2010/2/1,4.63,D
2010/3/1,5.1,A
2010/3/1,6.67,B
2010/3/1,6.5,C
2010/3/1,5.28,D
2010/4/1,6.57,A
2010/4/1,5.37,B
2010/4/1,11.17,C
2010/4/1,12.42,D
2010/5/1,6.57,A
2010/5/1,5.73,B
2010/5/1,6.33,C
2010/5/1,9,D
2010/6/1,8.8,A
2010/6/1,7.97,B
2010/6/1,8.33,C
2010/6/1,10,D
2010/7/1,14.9,A
2010/7/1,13.33,B
2010/7/1,15.33,C
2010/7/1,8.17,D
2010/8/1,18.57,A
2010/8/1,17.67,B
2010/8/1,15,C
2010/9/1,17.63,A
2010/9/1,23.67,B
2010/9/1,19.3,C
2010/10/1,12.03,A
2010/10/1,21.67,B
2010/10/1,8.67,C
2010/11/1,17.37,A
2010/11/1,18.67,B
2010/11/1,18.67,C
2010/11/1,10,D
2010/12/1,6.7,A
2010/12/1,9.67,B
2010/12/1,6.33,C
2010/12/1,10,D
2011/1/1,6.86,A
2011/1/1,9.67,B
2011/1/1,8.33,C
2011/1/1,10,D
2011/2/1,4.02,A
2011/2/1,4.75,B
2011/2/1,4,C
2011/2/1,5.5,D
2011/3/1,3.73,A
2011/3/1,3.33,B
2011/3/1,3,C
2011/3/1,3,D
2011/4/1,2.8,A
2011/4/1,3,B
2011/4/1,3,C
2011/4/1,3,D
2011/5/1,4.67,A
2011/5/1,2.67,B
2011/5/1,5.67,C
2011/5/1,4.33,D
2011/6/1,10.47,A
2011/6/1,5.33,B
2011/6/1,6.5,C
2011/6/1,5.67,D
2011/7/1,13.4,A
2011/7/1,12,B
2011/7/1,6,D
2011/8/1,17.03,A
2011/8/1,12.67,B
2011/9/1,21.13,A
2011/9/1,14,B
2011/10/1,21.6,A
2011/10/1,15.33,B
2011/10/1,12,C
2011/10/1,15,D
2011/11/1,9.57,A
2011/11/1,12.33,B
2011/11/1,8.83,C
2011/11/1,7.33,D
2011/12/1,24.27,A
2011/12/1,11.33,B
2011/12/1,23,C
2011/12/1,21.67,D
2012/1/1,25.5,A
2012/1/1,19.5,B
2012/1/1,23,C
2012/1/1,27.5,D
2012/2/1,17.47,A
2012/2/1,16,B
2012/2/1,17,C
2012/2/1,16.33,D
2012/3/1,11.5,A
2012/3/1,14.67,B
2012/3/1,13,C
2012/3/1,14,D
2012/4/1,7.93,A
2012/4/1,7.33,B
2012/4/1,7.09,C
2012/4/1,6.67,D
2012/5/1,17.93,A
2012/5/1,9.17,B
2012/5/1,14,C
2012/5/1,17,D
2012/6/1,19.5,A
2012/6/1,14.17,B
2012/6/1,17.5,C
2012/7/1,27.77,A
2012/7/1,19.67,B
2012/7/1,15,C
2012/8/1,33.67,A
2012/8/1,32.33,B
2012/9/1,29.07,A
2012/9/1,26.33,B
2012/10/1,17.53,A
2012/10/1,9.83,B
2012/10/1,8,C
2012/11/1,5.7,A
2012/11/1,3.33,B
2012/11/1,7.07,C
2012/11/1,5.33,D
2012/12/1,9.17,A
2012/12/1,6,B
2012/12/1,10.7,C
2012/12/1,9.33,D
2013/1/1,20.33,A
2013/1/1,25.5,B
2013/1/1,25,C
2013/1/1,15.67,D
2013/2/1,9.75,A
