date,price,district
2010/01/01,4.67,朴子市
2010/02/01,3.50,朴子市
2010/03/01,5.67,朴子市
2010/04/01,7.67,朴子市
2010/05/01,7.50,朴子市
2010/06/01,7.83,朴子市
2010/07/01,13.17,朴子市
2010/08/01,14.50,朴子市
2010/09/01,15.67,朴子市
2010/10/01,12.17,朴子市
2010/11/01,12.17,朴子市
2010/12/01,6.50,朴子市
2011/01/01,5.83,朴子市
2011/02/01,3.75,朴子市
2011/03/01,3.33,朴子市
2011/04/01,3,朴子市
2011/05/01,3.33,朴子市
2011/06/01,6.17,朴子市
2011/07/01,8.33,朴子市
2011/08/01,11.33,朴子市
2011/09/01,13.33,朴子市
2011/10/01,14.17,朴子市
2011/11/01,9.83,朴子市
2011/12/01,12.17,朴子市
2012/01/01,14.75,朴子市
2012/02/01,12.33,朴子市
2012/03/01,10.17,朴子市
2012/04/01,7.33,朴子市
2012/05/01,8.67,朴子市
2012/06/01,11.67,朴子市
2012/07/01,14.17,朴子市
2012/08/01,16.50,朴子市
2012/10/01,15.50,朴子市
2012/11/01,7.17,朴子市
2012/12/01,6.50,朴子市
2013/01/01,14,朴子市
2013/02/01,11.25,朴子市
2013/03/01,5.17,朴子市
2013/04/01,4.67,朴子市
2013/05/01,10.83,朴子市
2013/06/01,13.67,朴子市
2013/07/01,14,朴子市
2013/08/01,14.50,朴子市
2013/11/01,13.25,朴子市
2013/12/01,10,朴子市
2014/01/01,6,朴子市
2014/02/01,4.75,朴子市
2014/03/01,4.83,朴子市
2014/04/01,5.50,朴子市
2014/05/01,7.33,朴子市
2014/06/01,9.50,朴子市
2014/11/01,10.67,朴子市
2014/12/01,9.83,朴子市
2015/01/01,11,朴子市
2015/02/01,6.75,朴子市
2015/03/01,4.67,朴子市
2015/04/01,6,朴子市
2015/11/01,26,朴子市
2015/12/01,8.17,朴子市
2016/01/01,7,朴子市
2016/02/01,19,朴子市
2016/03/01,26.83,朴子市
2016/04/01,24.03,朴子市
2016/12/01,6.50,朴子市
2017/01/01,5,朴子市
2017/02/01,4.83,朴子市
2017/03/01,4.07,朴子市
2017/04/01,5,朴子市
2017/11/01,23,朴子市
2017/12/01,19.67,朴子市
2018/01/01,12.67,朴子市
2018/02/01,13.10,朴子市
2018/03/01,4.65,朴子市
2018/04/01,5.20,朴子市
2018/05/01,7.40,朴子市
2018/06/01,8.50,朴子市
2018/07/01,12.50,朴子市
2018/08/01,17.67,朴子市
2018/09/01,29.97,朴子市
2018/10/01,32.47,朴子市
2018/11/01,9.27,朴子市
2018/12/01,5.40,朴子市
