date,price,district
2010/1/1,11,新港鄉農會 
2010/2/1,11,新港鄉農會 
2010/3/1,14,新港鄉農會 
2010/4/1,18.83,新港鄉農會 
2010/5/1,12.67,新港鄉農會 
2010/6/1,19,新港鄉農會 
2010/7/1,15,新港鄉農會 
2010/8/1,21.67,新港鄉農會 
2010/9/1,30.33,新港鄉農會 
2010/10/1,32.67,新港鄉農會 
2010/11/1,24,新港鄉農會 
2010/12/1,12.67,新港鄉農會 
2011/1/1,17.67,新港鄉農會 
2011/2/1,16.5,新港鄉農會 
2011/3/1,14.33,新港鄉農會 
2011/4/1,14.33,新港鄉農會 
2011/5/1,14.83,新港鄉農會 
2011/6/1,15.4,新港鄉農會 
2011/7/1,15.67,新港鄉農會 
2011/8/1,25.67,新港鄉農會 
2011/9/1,29.5,新港鄉農會 
2011/10/1,27.67,新港鄉農會 
2011/11/1,28.33,新港鄉農會 
2011/12/1,35.33,新港鄉農會 
2012/1/1,34,新港鄉農會 
2012/2/1,30,新港鄉農會 
2012/3/1,30,新港鄉農會 
2012/4/1,23.33,新港鄉農會 
2012/5/1,20,新港鄉農會 
2012/6/1,28.67,新港鄉農會 
2012/7/1,40.25,新港鄉農會 
2012/8/1,123.33,新港鄉農會 
2012/9/1,106.67,新港鄉農會 
2012/10/1,56.67,新港鄉農會 
2012/11/1,28.33,新港鄉農會 
2012/12/1,21,新港鄉農會 
2013/1/1,18,新港鄉農會 
2013/2/1,17.5,新港鄉農會 
2013/3/1,15,新港鄉農會 
2013/4/1,18.33,新港鄉農會 
2013/5/1,18,新港鄉農會 
2013/6/1,28.67,新港鄉農會 
2013/7/1,44,新港鄉農會 
2013/8/1,46.33,新港鄉農會 
2013/9/1,59,新港鄉農會 
2013/10/1,66.67,新港鄉農會 
2013/11/1,34.67,新港鄉農會 
2013/12/1,27,新港鄉農會 
2014/1/1,27.33,新港鄉農會 
2014/2/1,24.5,新港鄉農會 
2014/3/1,17.67,新港鄉農會 
2014/4/1,14.33,新港鄉農會 
2014/5/1,19,新港鄉農會 
2014/6/1,23.67,新港鄉農會 
2014/7/1,20,新港鄉農會 
2014/8/1,32.67,新港鄉農會 
2014/9/1,54,新港鄉農會 
2014/10/1,56,新港鄉農會 
2014/11/1,40,新港鄉農會 
2014/12/1,31,新港鄉農會 
2015/1/1,21.33,新港鄉農會 
2015/2/1,19.5,新港鄉農會 
2015/3/1,19.67,新港鄉農會 
2015/4/1,15.19,新港鄉農會 
2015/5/1,16.17,新港鄉農會 
2015/6/1,36.12,新港鄉農會 
2015/7/1,48.93,新港鄉農會 
2015/8/1,75.17,新港鄉農會 
2015/9/1,58.04,新港鄉農會 
2015/10/1,56.09,新港鄉農會 
2015/11/1,42.81,新港鄉農會 
2015/12/1,52.92,新港鄉農會 
2016/1/1,70.53,新港鄉農會 
2016/2/1,59.87,新港鄉農會 
2016/3/1,56.09,新港鄉農會 
2016/4/1,26.34,新港鄉農會 
2016/5/1,21.36,新港鄉農會 
2016/6/1,16.72,新港鄉農會 
2016/7/1,17.2,新港鄉農會 
2016/8/1,19.07,新港鄉農會 
2016/9/1,32.09,新港鄉農會 
2016/10/1,63.46,新港鄉農會 
2016/11/1,51.67,新港鄉農會 
2016/12/1,26.82,新港鄉農會 
2017/1/1,18.69,新港鄉農會 
2017/2/1,20.23,新港鄉農會 
2017/3/1,15.4,新港鄉農會 
2017/4/1,11.13,新港鄉農會 
2017/5/1,11.57,新港鄉農會 
2017/6/1,18.95,新港鄉農會 
2017/7/1,44.31,新港鄉農會 
2017/8/1,82.61,新港鄉農會 
2017/9/1,99.63,新港鄉農會 
2017/10/1,73.84,新港鄉農會 
2017/11/1,47.8,新港鄉農會 
2017/12/1,24.55,新港鄉農會 
2018/1/1,20.63,新港鄉農會 
2018/2/1,21.01,新港鄉農會 
2018/3/1,13.53,新港鄉農會 
2018/4/1,13.68,新港鄉農會 
2018/5/1,19.53,新港鄉農會 
2018/6/1,31.7,新港鄉農會 
2018/7/1,30.16,新港鄉農會 
2018/8/1,19.94,新港鄉農會 
2018/9/1,29.17,新港鄉農會 
2018/10/1,21.29,新港鄉農會 
2018/11/1,12.08,新港鄉農會 
2018/12/1,11.97,新港鄉農會 
