date,price,district
2010/1/1,14.43,路竹區農會
2010/1/1,13.3,湖內區農會
2010/2/1,15,路竹區農會
2010/2/1,13.3,湖內區農會
2010/3/1,20.57,路竹區農會
2010/3/1,20.53,湖內區農會
2010/4/1,31.1,路竹區農會
2010/4/1,25,湖內區農會
2010/5/1,30,路竹區農會
2010/5/1,25,湖內區農會
2010/6/1,30,路竹區農會
2010/6/1,28.33,湖內區農會
2010/7/1,31.1,路竹區農會
2010/7/1,30,湖內區農會
2010/8/1,38.9,路竹區農會
2010/8/1,45,湖內區農會
2010/9/1,45.53,路竹區農會
2010/9/1,53.33,湖內區農會
2010/10/1,51.1,路竹區農會
2010/10/1,36.67,湖內區農會
2010/11/1,25.53,路竹區農會
2010/11/1,22.33,湖內區農會
2010/12/1,17.8,路竹區農會
2010/12/1,17.8,湖內區農會
2011/1/1,20,路竹區農會
2011/1/1,16.7,湖內區農會
2011/2/1,20,路竹區農會
2011/2/1,18.35,湖內區農會
2011/3/1,17.8,路竹區農會
2011/3/1,11.43,湖內區農會
2011/4/1,16.7,路竹區農會
2011/4/1,12.77,湖內區農會
2011/5/1,16.7,路竹區農會
2011/5/1,11.7,湖內區農會
2011/6/1,20,路竹區農會
2011/6/1,16.67,湖內區農會
2011/7/1,32.2,路竹區農會
2011/7/1,29.43,湖內區農會
2011/8/1,41.13,路竹區農會
2011/8/1,41.67,湖內區農會
2011/9/1,38.9,路竹區農會
2011/9/1,45,湖內區農會
2011/10/1,40,路竹區農會
2011/10/1,38.33,湖內區農會
2011/11/1,37.8,路竹區農會
2011/11/1,37,湖內區農會
2011/12/1,36.7,路竹區農會
2011/12/1,40.67,湖內區農會
2012/1/1,48.35,路竹區農會
2012/1/1,50,湖內區農會
2012/2/1,44.43,路竹區農會
2012/2/1,50,湖內區農會
2012/3/1,40,路竹區農會
2012/3/1,41.67,湖內區農會
2012/4/1,35.57,路竹區農會
2012/4/1,33.33,湖內區農會
2012/5/1,26.7,路竹區農會
2012/5/1,30,湖內區農會
2012/6/1,41.1,路竹區農會
2012/6/1,42.67,湖內區農會
2012/7/1,94.43,路竹區農會
2012/7/1,80,湖內區農會
2012/8/1,136.67,路竹區農會
