date,price
2010/1/1,18.67
2010/2/1,17
2010/3/1,25.33
2010/4/1,20.67
2010/5/1,NA
2010/6/1,NA
2010/7/1,NA
2010/8/1,NA
2010/9/1,NA
2010/10/1,60
2010/11/1,33.33
2010/12/1,17
2011/1/1,17.33
2011/2/1,12.5
2011/3/1,16.67
2011/4/1,16
2011/5/1,NA
2011/6/1,NA
2011/7/1,NA
2011/8/1,NA
2011/9/1,NA
2011/10/1,38
2011/11/1,30
2011/12/1,66.67
2012/1/1,35.5
2012/2/1,14
2012/3/1,19.33
2012/4/1,11.67
2012/5/1,NA
2012/6/1,NA
2012/7/1,NA
2012/8/1,NA
2012/9/1,NA
2012/10/1,55
2012/11/1,31
2012/12/1,53.33
2013/1/1,44.33
2013/2/1,17.5
2013/3/1,11
2013/4/1,26
2013/5/1,NA
2013/6/1,NA
2013/7/1,NA
2013/8/1,NA
2013/9/1,NA
2013/10/1,60
2013/11/1,34
2013/12/1,27
2014/1/1,25
2014/2/1,24
2014/3/1,22.33
2014/4/1,22.67
2014/5/1,NA
2014/6/1,NA
2014/7/1,NA
2014/8/1,NA
2014/9/1,NA
2014/10/1,NA
2014/11/1,30.33
2014/12/1,29
2015/1/1,22
2015/2/1,14.5
2015/3/1,14
2015/4/1,23.85
2015/5/1,NA
2015/6/1,NA
2015/7/1,NA
2015/8/1,NA
2015/9/1,NA
2015/10/1,NA
2015/11/1,34.61
2015/12/1,21.75
2016/1/1,28.76
2016/2/1,51.11
2016/3/1,36.59
2016/4/1,33.54
2016/5/1,NA
2016/6/1,NA
2016/7/1,NA
2016/8/1,NA
2016/9/1,NA
2016/10/1,NA
2016/11/1,45.38
2016/12/1,22.74
2017/1/1,11.24
2017/2/1,13.6
2017/3/1,11.92
2017/4/1,13.43
2017/5/1,NA
2017/6/1,NA
2017/7/1,NA
2017/8/1,NA
2017/9/1,NA
2017/10/1,NA
2017/11/1,35.54
2017/12/1,34.82
2018/1/1,20.44
2018/2/1,17.11
2018/3/1,12.55
2018/4/1,16.86
2018/5/1,NA
2018/6/1,NA
2018/7/1,NA
2018/8/1,NA
2018/9/1,NA
2018/10/1,NA
2018/11/1,27.29
2018/12/1,22.36
