date,price,district
2010/01/01,20,·s¶é¶m
2010/02/01,17.5,·s¶é¶m
2010/03/01,20,·s¶é¶m
2010/04/01,20,·s¶é¶m
2010/11/01,21.5,·s¶é¶m
2010/12/01,18.67,·s¶é¶m
2011/01/01,18.67,·s¶é¶m
2011/02/01,16.5,·s¶é¶m
2011/03/01,15,·s¶é¶m
2011/04/01,19.33,·s¶é¶m
2011/11/01,33.33,·s¶é¶m
2011/12/01,70,·s¶é¶m
2012/01/01,40,·s¶é¶m
2012/02/01,21.67,·s¶é¶m
2012/03/01,22.67,·s¶é¶m
2012/04/01,28.33,·s¶é¶m
2012/11/01,38,·s¶é¶m
2012/12/01,52.67,·s¶é¶m
2013/01/01,33.33,·s¶é¶m
2013/02/01,15,·s¶é¶m
2013/03/01,17.5,·s¶é¶m
2013/04/01,50.83,·s¶é¶m
2013/11/01,35.83,·s¶é¶m
2013/12/01,35,·s¶é¶m
2014/01/01,27.5,·s¶é¶m
2014/02/01,19.25,·s¶é¶m
2014/03/01,24.17,·s¶é¶m
2014/04/01,30,·s¶é¶m
2014/11/01,39.17,·s¶é¶m
2014/12/01,37.5,·s¶é¶m
2015/01/01,33.33,·s¶é¶m
2015/02/01,16,·s¶é¶m
2015/03/01,18.83,·s¶é¶m
2015/04/01,36.33,·s¶é¶m
2015/11/01,50,·s¶é¶m
2015/12/01,31.5,·s¶é¶m
2016/01/01,35.83,·s¶é¶m
2016/02/01,55,·s¶é¶m
2016/03/01,41.67,·s¶é¶m
2016/04/01,43,·s¶é¶m
2016/11/01,50,·s¶é¶m
2016/12/01,25.33,·s¶é¶m
2017/01/01,15.5,·s¶é¶m
2017/02/01,16.17,·s¶é¶m
2017/03/01,15,·s¶é¶m
2017/04/01,20,·s¶é¶m
2017/11/01,49,·s¶é¶m
2017/12/01,36.33,·s¶é¶m
2018/01/01,27.4,·s¶é¶m
2018/02/01,22,·s¶é¶m
2018/03/01,15.17,·s¶é¶m
2018/04/01,21.83,·s¶é¶m
2018/11/01,34.17,·s¶é¶m
2018/12/01,25.83,·s¶é¶m
