date,price
2010/1/1,61.33
2010/2/1,42.5
2010/3/1,47.33
2010/4/1,56.67
2010/5/1,61.67
2010/6/1,55
2010/7/1,NA
2010/8/1,NA
2010/9/1,NA
2010/10/1,NA
2010/11/1,NA
2010/12/1,71.67
2011/1/1,71.67
2011/2/1,52.5
2011/3/1,61.67
2011/4/1,61.67
2011/5/1,48.33
2011/6/1,45
2011/7/1,NA
2011/8/1,NA
2011/9/1,NA
2011/10/1,NA
2011/11/1,NA
2011/12/1,53.9
2012/1/1,66.5
2012/2/1,62.33
2012/3/1,61
2012/4/1,63.33
2012/5/1,61.67
2012/6/1,61.67
2012/7/1,NA
2012/8/1,NA
2012/9/1,NA
2012/10/1,NA
2012/11/1,NA
2012/12/1,75
2013/1/1,63.33
2013/2/1,70
2013/3/1,63.33
2013/4/1,61.67
2013/5/1,63.33
2013/6/1,61.67
2013/7/1,NA
2013/8/1,NA
2013/9/1,NA
2013/10/1,NA
2013/11/1,NA
2013/12/1,80
2014/1/1,71.67
2014/2/1,75
2014/3/1,65
2014/4/1,65
2014/5/1,63.33
2014/6/1,66.67
2014/7/1,NA
2014/8/1,NA
2014/9/1,NA
2014/10/1,NA
2014/11/1,NA
2014/12/1,70
2015/1/1,54.33
2015/2/1,50
2015/3/1,46.67
2015/4/1,43.33
2015/5/1,45
2015/6/1,38.33
2015/7/1,NA
2015/8/1,NA
2015/9/1,NA
2015/10/1,NA
2015/11/1,NA
2015/12/1,61.67
2016/1/1,55
2016/2/1,61.67
2016/3/1,60.83
2016/4/1,55.33
2016/5/1,61.67
2016/6/1,60
2016/7/1,NA
2016/8/1,NA
2016/9/1,NA
2016/10/1,NA
2016/11/1,NA
2016/12/1,66.22
2017/1/1,75.5
2017/2/1,108.1
2017/3/1,70
2017/4/1,50
2017/5/1,46.67
2017/6/1,45
2017/7/1,NA
2017/8/1,NA
2017/9/1,NA
2017/10/1,NA
2017/11/1,NA
2017/12/1,113.94
2018/1/1,66.65
2018/2/1,60
2018/3/1,64
2018/4/1,60
2018/5/1,60
2018/6/1,47.67
2018/7/1,NA
2018/8/1,NA
2018/9/1,NA
2018/10/1,NA
2018/11/1,NA
2018/12/1,79.7
