date,price,district
2010/1/1,75.67,里港鄉農會
2010/2/1,52.5,里港鄉農會
2010/3/1,42.33,里港鄉農會
2010/11/1,79,里港鄉農會
2010/12/1,69.67,里港鄉農會
2011/1/1,70,里港鄉農會
2011/2/1,67.5,里港鄉農會
2011/3/1,57,里港鄉農會
2011/11/1,59.33,里港鄉農會
2011/12/1,65,里港鄉農會
2012/1/1,66.5,里港鄉農會
2012/2/1,52.33,里港鄉農會
2012/3/1,55,里港鄉農會
2012/11/1,65.33,里港鄉農會
2012/12/1,66,里港鄉農會
2013/1/1,67.67,里港鄉農會
2013/2/1,58.5,里港鄉農會
2013/3/1,52.67,里港鄉農會
2013/11/1,73,里港鄉農會
2013/12/1,66,里港鄉農會
2014/1/1,67.5,里港鄉農會
2014/2/1,60,里港鄉農會
2014/3/1,56,里港鄉農會
2014/11/1,115,里港鄉農會
2014/12/1,63,里港鄉農會
2015/1/1,54.67,里港鄉農會
2015/2/1,61.5,里港鄉農會
2015/3/1,64,里港鄉農會
2015/11/1,74,里港鄉農會
2015/12/1,77.67,里港鄉農會
2016/1/1,69.33,里港鄉農會
2016/2/1,73.5,里港鄉農會
2016/3/1,82.67,里港鄉農會
2016/11/1,75,里港鄉農會
2016/12/1,67.67,里港鄉農會
2017/1/1,98,里港鄉農會
2017/2/1,141,里港鄉農會
2017/3/1,89.67,里港鄉農會
2017/11/1,77.5,里港鄉農會
2017/12/1,78.33,里港鄉農會
2018/1/1,66.33,里港鄉農會
2018/2/1,73,里港鄉農會
2018/3/1,71.67,里港鄉農會
2018/12/1,70,里港鄉農會
2010/1/1,68.33,鹽埔辦事處
2010/2/1,47.5,鹽埔辦事處
2010/3/1,41.67,鹽埔辦事處
2010/11/1,58.33,鹽埔辦事處
2010/12/1,65,鹽埔辦事處
2011/1/1,55.67,鹽埔辦事處
2011/2/1,45,鹽埔辦事處
2011/3/1,55,鹽埔辦事處
2011/11/1,66.67,鹽埔辦事處
2011/12/1,50,鹽埔辦事處
2012/1/1,50,鹽埔辦事處
2012/2/1,45,鹽埔辦事處
2012/3/1,46,鹽埔辦事處
2012/11/1,97.5,鹽埔辦事處
2012/12/1,78.33,鹽埔辦事處
2013/1/1,60,鹽埔辦事處
2013/2/1,57.5,鹽埔辦事處
2013/3/1,45,鹽埔辦事處
2013/11/1,80,鹽埔辦事處
2013/12/1,68.33,鹽埔辦事處
2014/1/1,60,鹽埔辦事處
2014/2/1,50,鹽埔辦事處
2014/3/1,53.33,鹽埔辦事處
2014/11/1,87.5,鹽埔辦事處
2014/12/1,75,鹽埔辦事處
2015/1/1,56.67,鹽埔辦事處
2015/2/1,47.5,鹽埔辦事處
2015/3/1,43.33,鹽埔辦事處
2015/11/1,50,鹽埔辦事處
2015/12/1,56,鹽埔辦事處
2016/1/1,51.67,鹽埔辦事處
2016/2/1,55,鹽埔辦事處
2016/3/1,66.67,鹽埔辦事處
2016/12/1,69,鹽埔辦事處
2017/1/1,82.5,鹽埔辦事處
2017/2/1,83.33,鹽埔辦事處
2017/3/1,60,鹽埔辦事處
2017/12/1,70.67,鹽埔辦事處
2018/1/1,51.67,鹽埔辦事處
2018/2/1,53.5,鹽埔辦事處
2018/3/1,51.67,鹽埔辦事處
2018/12/1,51.5,鹽埔辦事處
2010/1/1,74.33,高樹鄉農會
2010/2/1,58,高樹鄉農會
2010/3/1,44,高樹鄉農會
2010/4/1,43,高樹鄉農會
2010/11/1,90,高樹鄉農會
2010/12/1,78.33,高樹鄉農會
2011/1/1,77.33,高樹鄉農會
2011/2/1,62.5,高樹鄉農會
2011/3/1,67.67,高樹鄉農會
2011/4/1,66,高樹鄉農會
2011/11/1,70,高樹鄉農會
2011/12/1,55,高樹鄉農會
2012/1/1,57.5,高樹鄉農會
2012/2/1,40.67,高樹鄉農會
2012/3/1,46,高樹鄉農會
2012/4/1,51.67,高樹鄉農會
2012/11/1,58,高樹鄉農會
2012/12/1,63.33,高樹鄉農會
2013/1/1,58.33,高樹鄉農會
2013/2/1,52.5,高樹鄉農會
2013/3/1,51.67,高樹鄉農會
2013/4/1,56.7,高樹鄉農會
2013/11/1,53,高樹鄉農會
2013/12/1,61.67,高樹鄉農會
2014/1/1,73.33,高樹鄉農會
2014/2/1,51.5,高樹鄉農會
2014/3/1,55,高樹鄉農會
2014/4/1,51.67,高樹鄉農會
2014/11/1,80,高樹鄉農會
2014/12/1,63.33,高樹鄉農會
2015/1/1,51,高樹鄉農會
2015/2/1,46.5,高樹鄉農會
2015/3/1,45,高樹鄉農會
2015/4/1,37,高樹鄉農會
2015/11/1,80,高樹鄉農會
2015/12/1,70,高樹鄉農會
2016/1/1,51.67,高樹鄉農會
2016/2/1,51.5,高樹鄉農會
2016/3/1,56,高樹鄉農會
2016/11/1,77,高樹鄉農會
2016/12/1,65,高樹鄉農會
2017/1/1,72.5,高樹鄉農會
2017/2/1,103.33,高樹鄉農會
2017/3/1,71.67,高樹鄉農會
2017/4/1,43.33,高樹鄉農會
2017/11/1,55,高樹鄉農會
2017/12/1,53,高樹鄉農會
2018/1/1,52.67,高樹鄉農會
2018/2/1,57.5,高樹鄉農會
2018/3/1,52,高樹鄉農會
2018/4/1,53.33,高樹鄉農會
2018/11/1,80,高樹鄉農會
2018/12/1,61,高樹鄉農會
2010/1/1,83.77,內埔地區農
2010/2/1,53,內埔地區農
2010/3/1,38,內埔地區農
2010/4/1,37.33,內埔地區農
2010/5/1,38.67,內埔地區農
2010/6/1,35.67,內埔地區農
2010/11/1,74.33,內埔地區農
2010/12/1,72,內埔地區農
2011/1/1,63,內埔地區農
2011/2/1,45.5,內埔地區農
2011/3/1,50,內埔地區農
2011/4/1,57.67,內埔地區農
2011/5/1,47.33,內埔地區農
2011/6/1,40.33,內埔地區農
2011/11/1,60,內埔地區農
2011/12/1,61.67,內埔地區農
2012/1/1,56,內埔地區農
2012/2/1,52.67,內埔地區農
2012/3/1,48.67,內埔地區農
2012/4/1,42,內埔地區農
2012/5/1,65.5,內埔地區農
2012/11/1,80,內埔地區農
2012/12/1,71,內埔地區農
2013/1/1,53.33,內埔地區農
2013/2/1,55,內埔地區農
2013/3/1,44.67,內埔地區農
2013/4/1,40.67,內埔地區農
2013/11/1,80,內埔地區農
2013/12/1,82.33,內埔地區農
2014/1/1,74.67,內埔地區農
2014/2/1,45,內埔地區農
2014/3/1,63,內埔地區農
2014/4/1,44.5,內埔地區農
2014/5/1,38.5,內埔地區農
2014/11/1,81,內埔地區農
2014/12/1,82.67,內埔地區農
2015/1/1,69.67,內埔地區農
2015/2/1,52.5,內埔地區農
2015/3/1,44.33,內埔地區農
2015/4/1,40,內埔地區農
2015/5/1,32.5,內埔地區農
2015/11/1,81.5,內埔地區農
2015/12/1,77.33,內埔地區農
2016/1/1,67.67,內埔地區農
2016/2/1,48,內埔地區農
2016/3/1,42.33,內埔地區農
2016/4/1,54.5,內埔地區農
2016/5/1,39,內埔地區農
2016/11/1,84.67,內埔地區農
2016/12/1,65.83,內埔地區農
2017/1/1,72.5,內埔地區農
2017/2/1,83.33,內埔地區農
2017/3/1,65.33,內埔地區農
2017/4/1,51,內埔地區農
2017/5/1,45.5,內埔地區農
2017/6/1,31.1,內埔地區農
2017/11/1,63.67,內埔地區農
2017/12/1,49.97,內埔地區農
2018/1/1,39.53,內埔地區農
2018/2/1,55,內埔地區農
2018/3/1,62.67,內埔地區農
2018/4/1,60,內埔地區農
2018/5/1,60,內埔地區農
2018/6/1,37.5,內埔地區農
2018/11/1,80,內埔地區農
2018/12/1,84,內埔地區農
2010/1/1,62.9,枋寮地區農
