"","real","fit"
"85",18.69,21.1952665770729
"86",20.23,24.4975437469759
"87",15.4,20.3635692164757
"88",11.13,22.8147685325788
"89",11.57,24.0154613577193
"90",18.95,31.2221659776842
"91",44.31,52.3203823664797
"92",82.61,67.6049293363136
"93",99.63,71.9263231249973
"94",73.84,58.0457914071007
"95",47.8,37.4606758394259
"96",24.55,22.2361935705292
"97",20.63,24.5794999884976
"98",21.01,28.0447252626187
"99",13.53,23.8854404532707
"100",13.68,26.7875577237247
"101",19.53,29.0531720589912
"102",31.7,38.8736541769873
"103",30.16,34.1980439848445
"104",19.94,35.6942394456166
"105",29.17,37.3111132259564
"106",21.29,25.2987449283057
"107",12.08,18.156171610728
"108",11.97,18.6462007958076
