"","real","fit"
"85",32,31.86166044482
"86",20,15.6330383597936
"87",18.67,23.0919448996342
"88",16,1.20877357567778
"89",13.83,18.9598213880519
"90",22.67,43.5727530623504
"91",46.67,37.8390910539877
"92",81.67,83.2906234895803
"93",95.33,90.141851703894
"94",73.33,57.3321122828027
"95",53,39.8406788788193
"96",31.67,33.9622695391679
"97",21,31.8089845931561
"98",20,22.5134249160651
"99",23.43,18.8645371085199
"100",21.1,14.2958483263774
"101",28.33,23.7831910060664
"102",36.43,34.9678055810038
"103",45,52.6900245875026
"104",33.33,56.1629193419508
"105",30,48.8379263634311
"106",37.67,23.4145313496794
"107",25.33,23.3314525019499
"108",19.17,26.7268777622687
