"","real","fit"
"1",11.24,12.149458852492
"2",13.6,14.3319167586712
"3",11.92,15.6121080874377
"4",13.43,26.7689923165167
"5",NA,28.6962623550395
"6",NA,35.286547031073
"7",NA,31.3386706915804
"8",NA,28.0558045044528
"9",NA,33.4168780534469
"10",NA,32.5392796720031
"11",35.54,31.0965365107986
"12",34.82,27.0765416884798
"13",20.44,20.6026725659163
"14",17.11,19.3566736569341
"15",12.55,14.1072141105462
"16",16.86,19.5796924378649
"17",NA,24.9194772432236
"18",NA,32.3420558703375
"19",NA,34.1458308733094
"20",NA,37.8735228224965
"21",NA,27.1497593087961
"22",NA,24.104068073711
"23",27.29,28.1151668692798
"24",22.36,18.0982031984788
