"","real","fit"
"1",15.5,21.0065767453034
"2",16.17,23.4814074554953
"3",15,22.8411040680036
"4",20,28.022498595057
"5",NA,31.816229818421
"6",NA,35.0227558745009
"7",NA,28.2796724438562
"8",NA,39.1474317404776
"9",NA,37.2426088102303
"10",NA,42.6598249180471
"11",49,40.9168513622252
"12",36.33,29.5916976402301
"13",27.4,26.4980712140007
"14",22,23.4375934928795
"15",15.17,17.294888076952
"16",21.83,22.7845827617677
"17",NA,26.2713913801243
"18",NA,31.8164117007868
"19",NA,39.7648439613235
"20",NA,46.2424293198998
"21",NA,36.1702810743243
"22",NA,31.4626805300925
"23",34.17,34.2241528372559
"24",25.83,25.0692197499621
