"","real","fit"
"1",75.5,72.5119464431469
"2",108.1,102.948321489408
"3",70,67.6975049204766
"4",50,54.4575682303538
"5",46.67,49.6892453580581
"6",45,46.4129637755619
"7",NA,49.295199360137
"8",NA,49.8512279597176
"9",NA,47.7019527030257
"10",NA,50.1213655806494
"11",NA,48.1513316567683
"12",113.94,104.791450779792
"13",66.65,64.9201113506493
"14",60,55.6898491199624
"15",64,60.2071412728225
"16",60,60.5751110206637
"17",60,62.6665811791225
"18",47.67,51.0571748067388
"19",NA,43.9477727787766
"20",NA,55.3009301921206
"21",NA,49.0553082198346
"22",NA,48.7694655230561
"23",NA,50.2760320389655
"24",79.7,77.8594649898162
